20230501	15:56:30	319030ef-3ca9-4634-b6cd-bc9589d59813	GET 	 undefined 	 /subdir/index.html
20230501	15:56:30	8b4b95f2-b5ac-45af-a199-284e991cfd20	GET 	 undefined 	 /subdir/css/style.css
20230501	15:56:35	f45eb80e-1049-45ee-878c-afcddd8f2e08	GET 	 undefined 	 /subdir/test
20230501	15:56:46	c6be818b-ef88-452a-966c-009b21bbba73	GET 	 undefined 	 /subdir/index
20230501	15:56:46	c1654013-a1e0-4ae3-8158-cc1c6f88eb5f	GET 	 undefined 	 /subdir/css/style.css
20230501	16:15:08	e40b8668-54ee-4252-8b69-77d6a0abe12c	GET 	 undefined 	 /subdir/
20230501	16:15:08	d7acc117-3a27-462b-9eab-0b766f1a1722	GET 	 undefined 	 /subdir/css/style.css
20230501	16:16:25	19beb7e1-e19f-420c-ba09-69e1ad4de5e8	GET 	 undefined 	 /subdir/
20230501	16:16:25	0c61448c-6ee6-4c5e-8f67-e8b8c68452df	GET 	 undefined 	 /subdir/css/style.css
20230501	16:18:58	c6819690-507c-44fd-92d8-04452219b562	GET 	 undefined 	 /
20230501	16:23:57	34518d58-d69c-4828-b434-cfe64fd9b9b2	GET 	 undefined 	 /
20230501	16:23:57	1a4b4e27-f3b5-4335-b43e-10678ae2d72c	GET 	 undefined 	 /css/style.css
20230501	16:24:03	ef352c53-a098-4880-8b49-ca9b76629dff	GET 	 undefined 	 /index
20230501	16:24:03	3f31e397-76da-4f0c-b5a7-9d94d9166bc9	GET 	 undefined 	 /css/style.css
20230501	16:24:07	735601d8-663b-429e-8dc7-1764959adf8d	GET 	 undefined 	 /index.html
20230501	16:24:07	68471136-d86d-428f-bc0b-3b6ad3c91a6e	GET 	 undefined 	 /css/style.css
20230501	16:24:17	da0af800-5f64-43a7-8cc0-7c9e39213d17	GET 	 undefined 	 /new-page
20230501	16:24:17	1b872ee6-97da-423f-9d2e-1f258667d724	GET 	 undefined 	 /css/style.css
20230501	16:24:17	b8a44883-29a5-40ec-8da0-3ad30f3d5502	GET 	 undefined 	 /img/img1.jpg
20230501	16:24:22	aab546d1-f760-49be-912f-fee1e0fe3ab2	GET 	 undefined 	 /old-page
20230501	16:24:22	e61c4189-f336-4860-9a1a-796cec8f5db2	GET 	 undefined 	 /new-page.html
20230501	16:24:23	8c94e99b-f104-4e99-a321-05f1ef8d3200	GET 	 undefined 	 /css/style.css
20230501	16:24:23	a1a9c6f3-6a0a-4c79-8735-a3c4056381d4	GET 	 undefined 	 /img/img1.jpg
20230501	16:24:32	54a44ef9-c3f6-4095-bc97-59851ed01e16	GET 	 undefined 	 /subdir/
20230501	16:24:33	b3c926e8-e42b-46c4-8c60-d6668724f9c3	GET 	 undefined 	 /subdir/css/style.css
20230501	16:24:36	164c3543-b653-4774-b490-a0e36d8b933e	GET 	 undefined 	 /subdir/index
20230501	16:24:36	1c21c81d-97b3-4682-ab78-5116da1bcf46	GET 	 undefined 	 /subdir/css/style.css
20230501	16:29:00	29e0941c-d240-4761-acac-47bce12da12e	GET 	 undefined 	 /subdir/index
20230501	16:29:00	c8ae0c8f-c3bb-4108-a8eb-8bc53157c519	GET 	 undefined 	 /subdir/css/style.css
20230501	16:29:04	a8061c60-664c-43c3-872d-d63acd8205f1	GET 	 undefined 	 /subdir/
20230501	16:29:04	32ffb831-ecdc-4292-b9dd-eed9ae2411d2	GET 	 undefined 	 /subdir/css/style.css
20230501	16:29:17	50d86230-e74d-43d2-96b5-b4a320a5669d	GET 	 undefined 	 /subdir/test
20230501	16:29:51	56508b96-1e02-4f44-b1b6-4e3f0324c299	GET 	 undefined 	 /subdir/tesjkj
20230501	16:29:51	6fd7c5dc-d5ef-4379-a5a0-89e525d606d4	GET 	 undefined 	 /subdir/css/style.css
20230501	16:29:56	67e92fcd-b573-4c47-bd36-25a074d0e718	GET 	 undefined 	 /subdir/index
20230501	16:29:56	0061a3dc-e60d-4cf2-a2ee-971ff5c80ae1	GET 	 undefined 	 /subdir/css/style.css
20230501	16:30:51	8d1c14a5-2a6d-4a20-b91d-86dbf5dac233	GET 	 undefined 	 /subdir/index
20230501	16:30:51	b7f8794e-a8d9-4dae-9067-ca3371cec2aa	GET 	 undefined 	 /subdir/css/style.css
20230501	16:30:53	0c25ed70-e74a-4c94-aba2-b5a83cd825c4	GET 	 undefined 	 /subdir/index
20230501	16:30:53	f3184e40-345f-403c-9975-a26b7043e6d7	GET 	 undefined 	 /subdir/css/style.css
20230501	16:30:56	e36a18fc-d395-4ff8-a7e8-01483dadca1f	GET 	 undefined 	 /subdir/
20230501	16:41:57	54c129fb-f7e0-404b-99bc-21cd621abe75	GET 	 undefined 	 /api/employees
20230501	16:41:57	9c4d0fc6-5de2-4bc9-aff7-34e093999569	GET 	 undefined 	 /api/css/style.css
20230501	16:42:23	d0887b32-1758-43ef-9a73-3865e1135c40	GET 	 undefined 	 /employees
20230501	16:45:22	7defa8be-348a-4007-b1ca-5c6e7e1062f0	GET 	 undefined 	 /employees
20230501	16:46:28	261aacd3-9f0a-4fb6-b9a7-cec603b04f7d	POST 	 undefined 	 /employees
20230501	16:48:46	4ba22c25-0255-4792-a7ac-29d22699ce24	POST 	 undefined 	 /employees
20230501	16:49:02	0417ca2c-bd8e-47e8-945d-aedf5070e253	GET 	 undefined 	 /employees
20230502	15:51:32	f2426c37-19c2-46e2-a206-21d4bd156534	POST 	 undefined 	 /employees
20230502	15:51:51	84af73d1-356e-48bd-8217-3f90c2fed5b4	GET 	 undefined 	 /employees
20230502	15:54:32	8d126690-d092-4df0-b243-3821cca8109c	GET 	 undefined 	 /employees
20230502	15:54:39	b3eee716-df35-44af-9ec0-2657fca903bb	POST 	 undefined 	 /employees
20230502	15:54:45	44d1aa27-a5f5-4976-8531-7ba4668a8214	GET 	 undefined 	 /employees
20230504	12:03:26	b42a687d-9d11-41b3-a5b6-ee2f390cb4fa	GET 	 undefined 	 /
20230504	12:03:26	82e2d7cd-632e-498f-a9b0-945c56192088	GET 	 undefined 	 /css/style.css
20230504	12:03:27	3cda2acb-bf70-4316-b871-50eef7993f82	GET 	 undefined 	 /favicon.ico
